# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 48K of event 'cycles'
# Event count (approx.): 123776222208
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.03%            13  redis-server     redis-server      [.] tryObjectEncoding
     0.03%            14  redis-server     [mlx5_core]       [k] 0x000000000004d930
     0.03%            12  redis-server     [kernel.vmlinux]  [k] security_socket_recvmsg
     0.03%            12  redis-server     [kernel.vmlinux]  [k] _raw_spin_trylock
     0.03%            12  redis-server     [kernel.vmlinux]  [k] nf_conntrack_put
     0.03%            12  redis-server     [kernel.vmlinux]  [k] update_dl_rq_load_avg
     0.03%            13  redis-server     redis-server      [.] genericSetKey
     0.03%            12  redis-server     [mlx5_core]       [k] 0x000000000004db53
     0.03%            13  redis-server     [kernel.vmlinux]  [k] notifier_call_chain
     0.03%            12  redis-server     libc.so.6         [.] __GI___pthread_enable_asynccancel
     0.02%            11  redis-server     [kernel.vmlinux]  [k] ip_route_use_hint
     0.02%            12  redis-server     [kernel.vmlinux]  [k] load_balance
