# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 39K of event 'cycles'
# Event count (approx.): 84431220089
#
# Overhead       Samples  Command          Shared Object     Symbol                                        
# ........  ............  ...............  ................  ..............................................
#
     0.03%            12  redis-server     [nf_conntrack]    [k] nf_conntrack_handle_packet
     0.03%            10  redis-server     [kernel.vmlinux]  [k] __run_timers.part.0
     0.03%            12  redis-server     [kernel.vmlinux]  [k] tcp_urg
     0.03%            11  redis-server     redis-server      [.] handleClientsWithPendingWrites
     0.03%            12  redis-server     [kernel.vmlinux]  [k] __update_idle_core
     0.03%            11  redis-server     [kernel.vmlinux]  [k] __netif_receive_skb_list_core
     0.03%            11  redis-server     redis-server      [.] sdssubstr
     0.03%            12  redis-server     [kernel.vmlinux]  [k] tcp_v4_do_rcv
     0.03%            11  redis-server     [kernel.vmlinux]  [k] skb_copy_to_page_nocache
     0.03%            11  redis-server     [kernel.vmlinux]  [k] put_prev_entity
     0.03%            11  redis-server     [kernel.vmlinux]  [k] eth_type_trans
     0.03%            11  redis-server     [kernel.vmlinux]  [k] sock_write_iter
     0.03%            11  redis-server     [kernel.vmlinux]  [k] tcp_ack_update_window.isra.0
     0.03%            11  redis-server     [kernel.vmlinux]  [k] hrtimer_active
     0.03%            10  redis-server     [kernel.vmlinux]  [k] tcp_schedule_loss_probe.part.0
     0.03%            11  redis-server     [kernel.vmlinux]  [k] should_we_balance
     0.03%            11  redis-server     redis-server      [.] handleClientsWithPendingWritesUsingThreads
     0.03%            10  redis-server     [kernel.vmlinux]  [k] task_tick_fair
     0.03%            11  redis-server     [kernel.vmlinux]  [k] common_interrupt
     0.03%            10  redis-server     [kernel.vmlinux]  [k] bpf_skops_write_hdr_opt.isra.0
     0.03%            11  redis-server     [kernel.vmlinux]  [k] kmem_cache_free_bulk.part.0
     0.03%             9  redis-server     [kernel.vmlinux]  [k] tcp_v4_fill_cb
     0.03%            10  redis-server     [kernel.vmlinux]  [k] sk_reset_timer
     0.03%            11  redis-server     [kernel.vmlinux]  [k] notifier_call_chain
     0.03%            10  redis-server     redis-server      [.] 0x0000000000128418
     0.03%            10  redis-server     [kernel.vmlinux]  [k] napi_gro_flush
     0.03%            11  redis-server     [kernel.vmlinux]  [k] avg_vruntime
     0.03%            11  redis-server     [nf_conntrack]    [k] nf_ct_acct_add
     0.03%            10  redis-server     [kernel.vmlinux]  [k] __napi_schedule
     0.03%            10  redis-server     redis-server      [.] 0x00000000001334f3
     0.03%            10  redis-server     [kernel.vmlinux]  [k] __radix_tree_lookup
     0.02%            10  redis-server     [kernel.vmlinux]  [k] nf_hook_slow_list
     0.02%            11  redis-server     [kernel.vmlinux]  [k] kmemleak_alloc
     0.02%            10  redis-server     [kernel.vmlinux]  [k] timerqueue_add
